id,amount,side,instrument,from,to,open,close,pl
108,434,Buy,GLE.PA,2001-05-09T22:00:00Z,2001-05-10T22:00:00Z,32.002396,32.544651,235.338670
109,705,Sell,BNP.PA,2001-05-16T22:00:00Z,2001-05-17T22:00:00Z,22.901386,22.594301,216.494925
110,420,Buy,GLE.PA,2001-05-16T22:00:00Z,2001-05-17T22:00:00Z,32.945320,34.359222,593.838840
111,690,Sell,BNP.PA,2001-06-10T22:00:00Z,2001-06-14T22:00:00Z,23.166491,22.937128,158.260470
112,411,Buy,GLE.PA,2001-06-10T22:00:00Z,2001-06-14T22:00:00Z,34.029301,33.228077,-329.303064
113,681,Sell,BNP.PA,2001-06-25T22:00:00Z,2001-06-28T22:00:00Z,23.464684,23.579367,-78.099123
114,425,Buy,GLE.PA,2001-06-25T22:00:00Z,2001-06-28T22:00:00Z,32.898155,32.968842,30.041975
115,668,Sell,BNP.PA,2001-07-04T22:00:00Z,2001-07-12T22:00:00Z,23.831665,22.937128,597.550716
116,429,Buy,GLE.PA,2001-07-04T22:00:00Z,2001-07-12T22:00:00Z,32.803883,30.070227,-1172.738424
117,688,Buy,BNP.PA,2001-07-15T22:00:00Z,2001-07-17T22:00:00Z,22.891237,22.249004,-441.856304
118,468,Sell,GLE.PA,2001-07-15T22:00:00Z,2001-07-17T22:00:00Z,30.423733,29.174734,584.531532
119,702,Buy,BNP.PA,2001-07-18T22:00:00Z,2001-07-19T22:00:00Z,22.478409,22.363684,-80.536950
120,472,Sell,GLE.PA,2001-07-18T22:00:00Z,2001-07-19T22:00:00Z,30.070227,29.433968,300.314248
121,694,Sell,BNP.PA,2001-08-07T22:00:00Z,2001-08-09T22:00:00Z,23.074755,22.707771,254.686896
122,466,Buy,GLE.PA,2001-08-07T22:00:00Z,2001-08-09T22:00:00Z,29.975960,29.528244,-208.635656
123,690,Buy,BNP.PA,2001-08-12T22:00:00Z,2001-08-13T22:00:00Z,22.799507,23.189432,269.048250
124,471,Sell,GLE.PA,2001-08-12T22:00:00Z,2001-08-13T22:00:00Z,30.211605,30.164505,22.184100
125,683,Sell,BNP.PA,2001-08-15T22:00:00Z,2001-08-19T22:00:00Z,23.372946,23.120646,172.320900
126,463,Buy,GLE.PA,2001-08-15T22:00:00Z,2001-08-19T22:00:00Z,30.235197,29.999548,-109.105487
127,676,Buy,BNP.PA,2001-08-20T22:00:00Z,2001-08-29T22:00:00Z,23.120646,22.868340,-170.558856
128,463,Sell,GLE.PA,2001-08-20T22:00:00Z,2001-08-29T22:00:00Z,30.989304,30.682970,141.832642
129,694,Sell,BNP.PA,2001-08-30T22:00:00Z,2001-09-02T22:00:00Z,23.166491,22.776556,270.614890
130,455,Buy,GLE.PA,2001-08-30T22:00:00Z,2001-09-02T22:00:00Z,30.541536,30.541536,0.000000
131,698,Sell,BNP.PA,2001-09-04T22:00:00Z,2001-09-09T22:00:00Z,23.028862,22.386627,448.280030
132,460,Buy,GLE.PA,2001-09-04T22:00:00Z,2001-09-09T22:00:00Z,30.188089,28.962605,-563.722640
133,766,Sell,BNP.PA,2001-09-11T22:00:00Z,2001-09-12T22:00:00Z,21.171000,21.102160,52.731440
134,519,Buy,GLE.PA,2001-09-11T22:00:00Z,2001-09-12T22:00:00Z,26.535349,26.888805,183.443664
135,796,Sell,BNP.PA,2001-09-26T22:00:00Z,2001-10-03T22:00:00Z,20.276413,21.377413,-876.396000
136,543,Buy,GLE.PA,2001-09-26T22:00:00Z,2001-10-03T22:00:00Z,25.451313,26.794535,729.369546
137,748,Buy,BNP.PA,2001-10-07T22:00:00Z,2001-10-11T22:00:00Z,21.148050,21.675606,394.611888
138,527,Sell,GLE.PA,2001-10-07T22:00:00Z,2001-10-11T22:00:00Z,26.888805,27.949305,-558.883500
139,772,Sell,BNP.PA,2001-10-18T22:00:00Z,2001-10-22T22:00:00Z,20.918648,21.331520,-318.737184
140,532,Buy,GLE.PA,2001-10-18T22:00:00Z,2001-10-22T22:00:00Z,25.993311,26.841694,451.339756
141,766,Sell,BNP.PA,2001-10-29T23:00:00Z,2001-10-31T23:00:00Z,20.964533,21.193895,-175.691292
142,536,Buy,GLE.PA,2001-10-29T23:00:00Z,2001-10-31T23:00:00Z,25.946205,26.276121,176.834976
143,746,Sell,BNP.PA,2001-11-01T23:00:00Z,2001-11-04T23:00:00Z,21.492092,21.836126,-256.649364
144,527,Buy,GLE.PA,2001-11-01T23:00:00Z,2001-11-04T23:00:00Z,26.441082,27.265888,434.672762
145,727,Buy,BNP.PA,2001-11-05T23:00:00Z,2001-11-11T23:00:00Z,21.836126,21.744390,-66.692072
146,513,Sell,GLE.PA,2001-11-05T23:00:00Z,2001-11-11T23:00:00Z,27.477957,27.336578,72.527427
147,683,Buy,BNP.PA,2001-11-14T23:00:00Z,2001-11-19T23:00:00Z,22.868340,22.753654,-78.330538
148,475,Sell,GLE.PA,2001-11-14T23:00:00Z,2001-11-19T23:00:00Z,30.211605,30.400156,-89.561725
149,708,Sell,BNP.PA,2001-12-09T23:00:00Z,2001-12-12T23:00:00Z,22.661875,22.249004,292.312668
150,475,Buy,GLE.PA,2001-12-09T23:00:00Z,2001-12-12T23:00:00Z,29.316116,28.514894,-380.580450
151,707,Sell,BNP.PA,2001-12-19T23:00:00Z,2001-12-23T23:00:00Z,22.661875,22.914186,-178.383877
152,492,Buy,GLE.PA,2001-12-19T23:00:00Z,2001-12-23T23:00:00Z,28.349936,28.774122,208.699512
153,701,Buy,BNP.PA,2001-12-24T23:00:00Z,2001-12-26T23:00:00Z,22.503023,23.005964,352.561641
154,493,Sell,GLE.PA,2001-12-24T23:00:00Z,2001-12-26T23:00:00Z,28.774122,29.198318,-209.128628
155,696,Buy,BNP.PA,2001-12-30T23:00:00Z,2002-01-01T23:00:00Z,22.638145,23.005964,256.002024
156,480,Sell,GLE.PA,2001-12-30T23:00:00Z,2002-01-01T23:00:00Z,29.622454,29.551767,33.929760
157,671,Buy,BNP.PA,2002-01-03T23:00:00Z,2002-01-06T23:00:00Z,23.418795,23.349998,-46.162787
158,458,Sell,GLE.PA,2002-01-03T23:00:00Z,2002-01-06T23:00:00Z,31.130692,30.282307,388.560330
159,670,Sell,BNP.PA,2002-01-08T23:00:00Z,2002-01-14T23:00:00Z,23.900501,23.694036,138.331550
160,455,Buy,GLE.PA,2002-01-08T23:00:00Z,2002-01-14T23:00:00Z,30.706497,30.777235,32.185790
161,660,Sell,BNP.PA,2002-01-16T23:00:00Z,2002-01-17T23:00:00Z,24.336277,23.831665,333.043920
162,452,Buy,GLE.PA,2002-01-16T23:00:00Z,2002-01-17T23:00:00Z,30.777235,30.942198,74.563276
163,640,Buy,BNP.PA,2002-01-24T23:00:00Z,2002-01-27T23:00:00Z,24.542736,25.047340,322.946560
164,440,Sell,GLE.PA,2002-01-24T23:00:00Z,2002-01-27T23:00:00Z,32.450382,32.874577,-186.645800
165,652,Sell,BNP.PA,2002-02-03T23:00:00Z,2002-02-05T23:00:00Z,24.611530,23.648197,628.093116
166,448,Buy,GLE.PA,2002-02-03T23:00:00Z,2002-02-05T23:00:00Z,31.107162,30.070227,-464.546880
167,665,Sell,BNP.PA,2002-02-10T23:00:00Z,2002-02-19T23:00:00Z,24.015181,23.349998,442.346695
168,462,Buy,GLE.PA,2002-02-10T23:00:00Z,2002-02-19T23:00:00Z,30.353045,29.221842,-522.615786
169,656,Buy,BNP.PA,2002-02-21T23:00:00Z,2002-02-24T23:00:00Z,23.946350,24.313374,240.767744
170,467,Sell,GLE.PA,2002-02-21T23:00:00Z,2002-02-24T23:00:00Z,30.565109,30.682970,-55.041087
171,620,Buy,BNP.PA,2002-02-28T23:00:00Z,2002-03-04T23:00:00Z,25.276695,25.873095,369.768000
172,442,Sell,GLE.PA,2002-02-28T23:00:00Z,2002-03-04T23:00:00Z,32.379692,32.851048,-208.339352
173,605,Sell,BNP.PA,2002-03-05T23:00:00Z,2002-03-06T23:00:00Z,26.331812,25.689583,388.548545
174,426,Buy,GLE.PA,2002-03-05T23:00:00Z,2002-03-06T23:00:00Z,32.945320,32.992424,20.066304
175,620,Buy,BNP.PA,2002-03-07T23:00:00Z,2002-03-10T23:00:00Z,25.047340,25.184969,85.329980
176,436,Sell,GLE.PA,2002-03-07T23:00:00Z,2002-03-10T23:00:00Z,33.157391,32.780296,164.413420
177,612,Sell,BNP.PA,2002-03-18T23:00:00Z,2002-03-19T23:00:00Z,26.056562,25.460215,364.964364
178,422,Buy,GLE.PA,2002-03-18T23:00:00Z,2002-03-19T23:00:00Z,33.204498,33.345932,59.685148
179,592,Buy,BNP.PA,2002-04-02T22:00:00Z,2002-04-04T22:00:00Z,26.469440,25.873095,-353.036240
180,413,Sell,GLE.PA,2002-04-02T22:00:00Z,2002-04-04T22:00:00Z,34.594933,33.699379,369.863802
181,607,Buy,BNP.PA,2002-04-09T22:00:00Z,2002-04-15T22:00:00Z,25.827204,26.515329,417.691875
