date,x,y,alpha,beta,error,variance,model
2000-01-02T23:00:00Z,24.638689,19.543472,0.0,0.0,19.543472,1.6080649956995275E-7,0.0
2000-01-03T23:00:00Z,24.528179,18.994169,0.012153409255359548,0.2994440709325255,11.637197818422957,1.977387298833779E-7,7.356971181577043
2000-01-04T23:00:00Z,24.307219,18.592716,0.021708276465677804,0.5335627392863617,5.601581369460826,2.0772726088261628E-7,12.991134630539174
2000-01-05T23:00:00Z,24.086246,17.958872,0.026647552180529332,0.6528704320861276,2.2070266144667077,2.0903767648546546E-7,15.751845385533292
2000-01-06T23:00:00Z,24.086246,18.191273,0.028654622155800592,0.7005829846768338,1.2882042655037473,2.1027645850784174E-7,16.90306873449625
2000-01-09T23:00:00Z,23.975748,18.296907,0.029824366608335554,0.7285827991402944,0.7987650440693521,2.0954797187819552E-7,17.49814195593065
2000-01-10T23:00:00Z,24.086246,17.620829,0.03055882689925288,0.7459689416332363,-0.3773212634370253,2.1087510049129997E-7,17.998150263437026
2000-01-11T23:00:00Z,23.697348,17.789864,0.030219551835505155,0.7377463722721043,0.2770119286948898,2.071538671075014E-7,17.51285207130511
2000-01-12T23:00:00Z,23.31284,17.747601,0.030486663421418234,0.7437817323500177,0.3774498153797943,2.0451384929340148E-7,17.370151184620205
2000-01-13T23:00:00Z,23.644266,18.064499,0.03087021852965963,0.7520392729277581,0.252212169919833,2.085692901027481E-7,17.81228683008017
2000-01-16T23:00:00Z,23.401239,17.916639,0.03110032409663855,0.7575821466801511,0.15717779930809073,2.0585348499239263E-7,17.75946120069191
2000-01-17T23:00:00Z,22.981369,17.430696,0.03125345925813653,0.7610294195174058,-0.09005536904343714,2.025111926269423E-7,17.520751369043438
2000-01-18T23:00:00Z,22.870859,17.832102,0.031157679605803738,0.759049978687391,0.44081928388186853,2.0254301791992339E-7,17.39128271611813
2000-01-19T23:00:00Z,22.826691,17.367289,0.031618222711897744,0.768787979353981,-0.2132148719396021,2.026386070924168E-7,17.5805038719396
2000-01-20T23:00:00Z,21.953856,17.029247,0.03140065160865801,0.7640664002830424,0.22364262213907438,1.9515831007970616E-7,16.805604377860927
2000-01-23T23:00:00Z,22.263212,17.071476,0.03168894944748031,0.7690203743858693,-0.081076576719461,1.9980506414857736E-7,17.15255257671946
2000-01-24T23:00:00Z,21.66655,16.923613,0.0316038863865274,0.7672051073470852,0.2693212950224826,1.9436023440380237E-7,16.654291704977517
2000-01-25T23:00:00Z,21.721806,16.860203,0.03194324593148989,0.7732242395942752,0.03243282710414164,1.9608014314537572E-7,16.827770172895857
2000-01-26T23:00:00Z,21.87649,17.071476,0.0319799660299259,0.7739541747379135,0.10809526985785567,1.9765735663062807E-7,16.963380730142145
2000-01-27T23:00:00Z,22.705151,17.515192,0.03209001658091599,0.7763904435140156,-0.14496027152361535,2.048684048293309E-7,17.660152271523614
2000-01-30T23:00:00Z,22.716183,17.177155,0.03199531528721704,0.7731265224195866,-0.41732388072415105,2.029403673114845E-7,17.59447888072415
2000-01-31T23:00:00Z,22.892973,17.261656,0.031657263808714815,0.763822707819162,-0.25617389069968155,2.0402472283372127E-7,17.51782989069968
2000-02-01T23:00:00Z,23.235479,16.986975,0.03144968403617222,0.758126370737994,-0.6599040506650482,2.0661015569264198E-7,17.64687905066505
2000-02-02T23:00:00Z,22.605724,16.944748,0.030972536863088235,0.743492234887219,0.10659520513326726,2.000479195816548E-7,16.838152794866733
2000-02-03T23:00:00Z,22.16374,16.88134,0.03109646020185862,0.7458450215603211,0.31952840164079177,1.973039507797532E-7,16.56181159835921
2000-02-06T23:00:00Z,22.02014,16.416533,0.03151884943104506,0.7529358249294547,-0.19473812539312618,1.9727025924671685E-7,16.611271125393127
2000-02-07T23:00:00Z,22.097456,16.458801,0.03127452528127586,0.7485862891200475,-0.11432611131480641,1.9858388983352862E-7,16.573127111314808
2000-02-08T23:00:00Z,21.545063,16.015087,0.031149716260314063,0.7460235228697271,-0.08918651597052119,1.9371847217836598E-7,16.104273515970522
2000-02-09T23:00:00Z,21.732887,15.972857,0.031023661035692134,0.7440267211492174,-0.22801531675214726,1.9655544240627013E-7,16.200872316752147
2000-02-10T23:00:00Z,21.920715,16.564438,0.030770522886708354,0.7388844415981313,0.33679221490650946,1.9812660519549106E-7,16.22764578509349
2000-02-13T23:00:00Z,21.545063,16.479897,0.03108834395544772,0.7464793585342474,0.36586384822460616,1.943673184354624E-7,16.114033151775395
2000-02-14T23:00:00Z,21.489799,16.37426,0.031547734324882365,0.754702645929766,0.12430409987627655,1.945840789782255E-7,16.249955900123723
2000-02-15T23:00:00Z,22.02014,16.754576,0.03169669170078581,0.7575073810806442,0.04246072587007532,1.9962166325396068E-7,16.712115274129925
2000-02-16T23:00:00Z,22.583609,17.789864,0.03172731849157625,0.758468296810333,0.6291852274479197,2.0359225419947354E-7,17.16067877255208
2000-02-17T23:00:00Z,22.539433,17.620829,0.032004557709377726,0.7726319390589397,0.17413861821156829,2.0158613919802155E-7,17.446690381788432
2000-02-20T23:00:00Z,22.428932,17.198246,0.032134664603395514,0.7765195385924151,-0.2503925923640473,2.0030702415260625E-7,17.44863859236405
2000-02-21T23:00:00Z,22.207956,16.923613,0.03189531544073186,0.7709397435371602,-0.22927821856526975,1.985163063010957E-7,17.15289121856527
2000-02-22T23:00:00Z,23.257586,17.346149,0.03162962339400793,0.765828214387382,-0.49679618073498233,2.0861651452978023E-7,17.842945180734983
