date,pl,funds
2000-05-17T22:00:00Z,38077.570834000006,53077.570834000006
2000-05-18T22:00:00Z,38077.570834000006,53077.570834000006
2000-05-21T22:00:00Z,38077.570834000006,53077.570834000006
2000-05-22T22:00:00Z,38077.570834000006,53077.570834000006
2000-05-23T22:00:00Z,38077.570834000006,53077.570834000006
2000-05-24T22:00:00Z,38077.570834000006,53077.570834000006
2000-05-25T22:00:00Z,38077.570834000006,53077.570834000006
2000-05-28T22:00:00Z,38184.83552200001,45693.09472475001
2000-05-29T22:00:00Z,38238.98700600001,45747.24620875001
2000-05-30T22:00:00Z,37936.37220600001,45444.63140875001
2000-05-31T22:00:00Z,37938.23047400001,45446.48967675001
2000-06-01T22:00:00Z,38081.09703700001,45589.356239750006
2000-06-04T22:00:00Z,38072.592037,53072.592037
2000-06-05T22:00:00Z,38072.592037,53072.592037
2000-06-06T22:00:00Z,38072.592037,53072.592037
2000-06-07T22:00:00Z,38072.592037,53072.592037
2000-06-08T22:00:00Z,38453.560807,45960.013379
2000-06-11T22:00:00Z,38445.44580700001,53445.44580700001
2000-06-12T22:00:00Z,38445.44580700001,53445.44580700001
2000-06-13T22:00:00Z,38445.44580700001,53445.44580700001
2000-06-14T22:00:00Z,38445.44580700001,53445.44580700001
2000-06-15T22:00:00Z,38869.474419000006,46380.6006895
2000-06-18T22:00:00Z,38861.48441900001,53861.48441900001
2000-06-19T22:00:00Z,38937.17740300001,46447.73487900001
2000-06-20T22:00:00Z,39172.130048000006,46682.68752400001
2000-06-21T22:00:00Z,39163.93504800001,54163.93504800001
2000-06-22T22:00:00Z,39163.93504800001,54163.93504800001
2000-06-25T22:00:00Z,39163.93504800001,54163.93504800001
2000-06-26T22:00:00Z,39163.93504800001,54163.93504800001
2000-06-27T22:00:00Z,39163.93504800001,54163.93504800001
2000-06-28T22:00:00Z,39215.04729800001,46724.420271750016
2000-06-29T22:00:00Z,39611.29274800001,47120.66572175
2000-07-02T22:00:00Z,39603.092748,54603.092748
2000-07-03T22:00:00Z,39603.092748,54603.092748
2000-07-04T22:00:00Z,39603.092748,54603.092748
2000-07-05T22:00:00Z,39603.092748,54603.092748
2000-07-06T22:00:00Z,39446.931262000006,46950.582731500006
2000-07-09T22:00:00Z,39092.95856200001,46596.61003150001
2000-07-10T22:00:00Z,39402.861814,46906.513283500004
2000-07-11T22:00:00Z,39394.981814000006,54394.981814000006
2000-07-12T22:00:00Z,39394.981814000006,54394.981814000006
2000-07-13T22:00:00Z,39105.42721000001,46608.46292900001
2000-07-16T22:00:00Z,39585.142594000004,47088.178313000004
2000-07-17T22:00:00Z,39577.062594,54577.062594
2000-07-18T22:00:00Z,39577.062594,54577.062594
2000-07-19T22:00:00Z,39415.850034,46922.202857250006
2000-07-20T22:00:00Z,39664.127308,47170.480131250006
2000-07-23T22:00:00Z,39656.087308,54656.087308
2000-07-24T22:00:00Z,39656.087308,54656.087308
2000-07-25T22:00:00Z,39656.087308,54656.087308
2000-07-26T22:00:00Z,39393.554377,46897.788733
2000-07-27T22:00:00Z,39366.191804,46870.42616
2000-07-30T22:00:00Z,39516.202985,47020.437341000004
2000-07-31T22:00:00Z,39508.37298500001,54508.37298500001
2000-08-01T22:00:00Z,39508.37298500001,54508.37298500001
2000-08-02T22:00:00Z,39508.37298500001,54508.37298500001
2000-08-03T22:00:00Z,39067.988175000006,46579.942405500005
2000-08-06T22:00:00Z,39638.915337000006,47150.869567500005
2000-08-07T22:00:00Z,39630.955337,54630.955337
2000-08-08T22:00:00Z,39630.955337,54630.955337
2000-08-09T22:00:00Z,39630.955337,54630.955337
2000-08-10T22:00:00Z,39630.955337,54630.955337
2000-08-13T22:00:00Z,39630.955337,54630.955337
2000-08-14T22:00:00Z,39630.955337,54630.955337
2000-08-15T22:00:00Z,39630.955337,54630.955337
